import time: self [us] | cumulative | imported package
import time:     72465 |     136090 |                                 wandb_graphql.execution.executors.sync
import time:     92496 |      92496 |                                   wandb_graphql.execution.experimental
import time:     62964 |      62964 |                                   wandb_graphql.execution.middleware
import time:     80691 |      80691 |                                   wandb_graphql.execution.experimental.fragment
import time:     60999 |     297147 |                                 wandb_graphql.execution.experimental.executor
import time:     13959 |    4305330 |                               wandb_graphql.execution.executor
import time:     11195 |    4316524 |                             wandb_graphql.execution
import time:     60011 |      60011 |                               wandb_graphql.language.lexer
import time:     84594 |      84594 |                               wandb_graphql.language.source
import time:     95187 |     239791 |                             wandb_graphql.language.parser
import time:    160259 |     160259 |                                   wandb_graphql.utils.get_field_def
import time:    190604 |     350863 |                                 wandb_graphql.utils.type_info
import time:    119367 |     119367 |                                     wandb_graphql.utils.is_valid_literal_value
import time:    200919 |     200919 |                                     wandb_graphql.validation.rules.base
import time:    187150 |     507435 |                                   wandb_graphql.validation.rules.arguments_of_correct_type
import time:     43017 |      43017 |                                   wandb_graphql.validation.rules.default_values_of_correct_type
import time:     17559 |      17559 |                                     wandb_graphql.utils.quoted_or_list
import time:     23470 |      23470 |                                     wandb_graphql.utils.suggestion_list
import time:     16184 |      57212 |                                   wandb_graphql.validation.rules.fields_on_correct_type
import time:     32286 |      32286 |                                   wandb_graphql.validation.rules.fragments_on_composite_types
import time:     47312 |      47312 |                                   wandb_graphql.validation.rules.known_argument_names
import time:    111244 |     111244 |                                   wandb_graphql.validation.rules.known_directives
import time:     90526 |      90526 |                                   wandb_graphql.validation.rules.known_fragment_names
import time:     76143 |      76143 |                                   wandb_graphql.validation.rules.known_type_names
import time:     56841 |      56841 |                                   wandb_graphql.validation.rules.lone_anonymous_operation
import time:     43026 |      43026 |                                   wandb_graphql.validation.rules.no_fragment_cycles
import time:     42834 |      42834 |                                   wandb_graphql.validation.rules.no_undefined_variables
import time:     22975 |      22975 |                                   wandb_graphql.validation.rules.no_unused_fragments
import time:     25160 |      25160 |                                   wandb_graphql.validation.rules.no_unused_variables
import time:     24386 |      24386 |                                     wandb_graphql.pyutils.pair_set
import time:     27068 |      51453 |                                   wandb_graphql.validation.rules.overlapping_fields_can_be_merged
import time:     23410 |      23410 |                                   wandb_graphql.validation.rules.possible_fragment_spreads
import time:     21447 |      21447 |                                   wandb_graphql.validation.rules.provided_non_null_arguments
import time:     25897 |      25897 |                                   wandb_graphql.validation.rules.scalar_leafs
import time:     22902 |      22902 |                                   wandb_graphql.validation.rules.unique_argument_names
import time:     22651 |      22651 |                                   wandb_graphql.validation.rules.unique_fragment_names
import time:     25628 |      25628 |                                   wandb_graphql.validation.rules.unique_input_field_names
import time:     34984 |      34984 |                                   wandb_graphql.validation.rules.unique_operation_names
import time:     28441 |      28441 |                                   wandb_graphql.validation.rules.unique_variable_names
import time:     25999 |      25999 |                                   wandb_graphql.validation.rules.variables_are_input_types
import time:     24799 |      24799 |                                   wandb_graphql.validation.rules.variables_in_allowed_position
import time:    201814 |    1665425 |                                 wandb_graphql.validation.rules
import time:    209265 |    2225551 |                               wandb_graphql.validation.validation
import time:    145537 |    2371088 |                             wandb_graphql.validation
import time:      8172 |    6935574 |                           wandb_graphql.graphql
import time:     21875 |      21875 |                           wandb_graphql.language.base
import time:     22720 |      22720 |                             wandb_graphql.utils.introspection_query
import time:     20582 |      20582 |                             wandb_graphql.utils.get_operation_ast
import time:     14473 |      14473 |                             wandb_graphql.utils.build_client_schema
import time:      7049 |       7049 |                             wandb_graphql.utils.build_ast_schema
import time:     12571 |      12571 |                             wandb_graphql.utils.extend_schema
import time:      8983 |       8983 |                             wandb_graphql.utils.schema_printer
import time:      8898 |       8898 |                             wandb_graphql.utils.concat_ast
import time:     17628 |     112901 |                           wandb_graphql.utils.base
import time:     15733 |    7112224 |                         wandb_graphql
import time:       122 |    7112346 |                       wandb_graphql.language
import time:       109 |    7112454 |                     wandb_graphql.language.parser
import time:     10138 |    7122592 |                   wandb_gql.gql
